asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,product_badge,coupon_text,book_format,unit_price,unit_count
B0CF5YQHCP,"KIT 2 Câmeras de Segurança Domo WiFi PTZ externa, Câmera IP sem fio com visão de 360°, Visão noturna colorida, Áudio bidirecional, Detecção de movimento, Alerta de atividade - BELLA NET","R$ 167,00",,BRL,4.4,362,https://www.amazon.com.br/dp/B0CF5YQHCP,https://m.media-amazon.com/images/I/611A+xMO-rL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 167,00",False,False,False,False,Mais de 400 compras no mês passado,"Entrega R$ 24,34: 23 - 25 de jul.Ou entrega mais rápida: 17 - 18 de jul.",False,,,,,
B07Z88XJV2,"Combo Teclado e Mouse sem fio Logitech MK470 com Design Slim, Digitação e Clique Silencioso, Mouse Ambidestro, Conexão USB e Pilhas Inclusas - Grafite","R$ 233,91","R$ 285,40",BRL,4.7,3082,https://www.amazon.com.br/dp/B07Z88XJV2,https://m.media-amazon.com/images/I/61cEU1ZNIHL._AC_UL960_FMwebp_QL65_.jpg,17,"R$ 220,92",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0D2DBG6W4,"Relógio Inteligente Amazfit Bip 5 46mm A2215 GPS, Chamadas Bluetooth, Bateria de 10 dias, Tela ultra grande, Rastreamento de passos, Alexa Built-In, AI Fitness App (Black)","R$ 364,65","R$ 429,00",BRL,4.4,285,https://www.amazon.com.br/dp/B0D2DBG6W4,https://m.media-amazon.com/images/I/61ueYKWLNqL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 364,65",False,False,True,False,Mais de 400 compras no mês passado,,False,Com Prime,,,,
B0BXFBN121,"PLACA MAE GIGABYTE A520M K V2 (REV. 1.0) CHIPSET AMD A520 AM4, MATX, DDR4 - A520M K V2 1.0","R$ 454,00","R$ 489,90",BRL,4.4,542,https://www.amazon.com.br/dp/B0BXFBN121,https://m.media-amazon.com/images/I/8167DVOm0ZL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 454,00",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,Economize 7%,,,,
B099ZJ4KPB,Nespresso Cafeteira Essenza Mini Branca 220V,"R$ 363,00","R$ 439,99",BRL,4.7,4912,https://www.amazon.com.br/dp/B099ZJ4KPB,https://m.media-amazon.com/images/I/5131+YP3dgL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 363,00",False,False,True,False,Mais de 200 compras no mês passado,,False,Oferta Prime Day,,,,
B0D9NRFF86,"Fones de Ouvido Sem Fio Basike D91, Bluetooth 5.4, Estéreo Hi-Fi, Tela LED, 100h Standby, Leve e Confortável, Ideal para Corrida e Exercícios (Preto)","R$ 131,75","R$ 155,00",BRL,4.4,422,https://www.amazon.com.br/dp/B0D9NRFF86,https://m.media-amazon.com/images/I/61fEYmwDyeL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 131,75",False,False,True,False,Mais de 300 compras no mês passado,,True,Oferta Prime Day,,,,
B0BLCLBB9Z,Lenovo Fone de Ouvido Sem Fio Original XT80 Esportes Fones de Ouvido Sem Fio HiFi Bluetooth 5.3 Fones de Ouvido Jogo Baixo com Mic Fone Bluetooth Redução de Ruído Earhooks XT80 preto,"R$ 122,00",,BRL,4,715,https://www.amazon.com.br/dp/B0BLCLBB9Z,https://m.media-amazon.com/images/I/71cwN2IkQUL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 122,00",False,False,False,False,Mais de 400 compras no mês passado,Entrega GRÁTIS: 13 - 22 de ago.,False,,,,,
B0F3QF7M22,Teclado Mecânico Mancer Shade MK3 | Rainbow | Switch Huano Vermelho | Preto | MCR-SHM3-RBW01RD,"R$ 129,96","R$ 152,90",BRL,4.6,759,https://www.amazon.com.br/dp/B0F3QF7M22,https://m.media-amazon.com/images/I/51rxGC4SNLL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 129,96",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: sex., 8 de ago.",False,Oferta,,,,
B0DCH2G5PC,"Tablet Positivo Vision TAB 7 - Processador Octa-Core 3GB RAM 64GB Armazenamento, Tela 7” IPS, Bateria 3100mAh, Android 14 Go, Wi-fi - Preto","R$ 374,00",,BRL,4.2,391,https://www.amazon.com.br/dp/B0DCH2G5PC,https://m.media-amazon.com/images/I/51l+IDmCjtL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 374,00",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: sex., 18 de jul.",False,,,,,
B0DVL7RBRT,Projetor Portatil Mini 5g Wifi 6 Bluetooth 5.0 Android 11 HY320 Projetor 4K 1080 Full HD Suporte 12000 Lumens Para Celular LED Auto Correção Horizontal 180° Premium,"R$ 299,90","R$ 315,90",BRL,3.9,153,https://www.amazon.com.br/dp/B0DVL7RBRT,https://m.media-amazon.com/images/I/51I220Lr0ML._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 299,90",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
B0CYPPS4VG,"Câmera IP Sem Fio de Segurança Externa HD 3MP, Câmera de Visão Noturna Infravermelha WiFi, Dupla Lente Grande Angular, IP66 à Prova D&#x27;água e à Prova de Poeira, Chamada de Voz Bidirecional, Preto","R$ 179,99",,BRL,4.5,2442,https://www.amazon.com.br/dp/B0CYPPS4VG,https://m.media-amazon.com/images/I/617WtAfloXL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 179,99",False,False,False,True,Mais de 300 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
B08JD18BD3,"Combo Teclado e Mouse sem fio Logitech MK295 com Digitação e Clique Silencioso, Teclas de Mídia de Fácil Acesso, Conexão USB, Pilhas Inclusas e Layout ABNT2","R$ 198,21",,BRL,4.7,2785,https://www.amazon.com.br/dp/B08JD18BD3,https://m.media-amazon.com/images/I/61lpjzSzVPL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 198,21",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B097QLN123,Memória Notebook Kingston Fury Impact 16GB DDR4 3200 Mhz - Preto,"R$ 243,00",,BRL,4.8,2598,https://www.amazon.com.br/dp/B097QLN123,https://m.media-amazon.com/images/I/71ecOJDxBSS._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 243,00",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: sex., 1 de ago.",False,,,,,
B07W6PD7QJ,"Mouse Gamer Logitech G403 HERO com RGB LIGHTSYNC, 6 Botões Programáveis, Ajuste de Peso e Sensor HERO 25K","R$ 247,90",,BRL,4.8,5667,https://www.amazon.com.br/dp/B07W6PD7QJ,https://m.media-amazon.com/images/I/61CF3xAQtEL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 247,90",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0D291W3C6,"HAYLOU Solar Plus Smartwatch, 1.43 &quot;AMOLED Display Bluetooth Telefone Chamada Relógio Inteligente para Homens e Mulheres, Exibição Sempre Ativa, Bluetooth 5.3","R$ 224,99","R$ 253,99",BRL,4.6,521,https://www.amazon.com.br/dp/B0D291W3C6,https://m.media-amazon.com/images/I/61isXSksx3L._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 224,99",False,False,False,False,Mais de 300 compras no mês passado,Entrega R$ 30: 22 de jul. - 1 de ago.,False,,,,,
B0FGJYT16Z,"Mini Projetor Hy320 Portatil 5G Wifi 6, Bluetooth 5.0 e Android 11, Suporte 4K e 720P Nativo, 12,000 Lumens, Projetor Led com 4D/4P e Auto de Correccao, 180° Giratorio, Zoom Eletronico","R$ 294,90",,BRL,5,6,https://www.amazon.com.br/dp/B0FGJYT16Z,https://m.media-amazon.com/images/I/51k+vJCruuL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 294,90",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
B0BX8V53KM,CAMERA INSTAX MINI 12 VERDE MENTA,"R$ 422,79",,BRL,4.7,467,https://www.amazon.com.br/dp/B0BX8V53KM,https://m.media-amazon.com/images/I/61+jaO2GeDL._AC_UL960_FMwebp_QL65_.jpg,10,"R$ 405,00",False,True,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: qui., 17 de jul.",False,Escolha,,,,
B0BCFKG49M,HEADSET GAMER HYPERX CLOUD STINGER 2 CORE PC PRETO,"R$ 281,06",,BRL,4.6,2782,https://www.amazon.com.br/dp/B0BCFKG49M,https://m.media-amazon.com/images/I/71WXVepOnFL._AC_UL960_FMwebp_QL65_.jpg,9,"R$ 206,52",False,False,False,False,Mais de 500 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0775S8X5C,"Plantronics Headset Blackwire USB C3220 209745-101T, com fio","R$ 171,50",,BRL,4.6,3435,https://www.amazon.com.br/dp/B0775S8X5C,https://m.media-amazon.com/images/I/51Z640YNXBL._AC_UL960_FMwebp_QL65_.jpg,13,"R$ 107,98",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
B074WKLRYT,"Combo Teclado e Mouse com fio USB Logitech MK120 com Design Confortável, Durável e Resistente à Respingos, USB e Layout ABNT2","R$ 104,90","R$ 116,35",BRL,4.8,1904,https://www.amazon.com.br/dp/B074WKLRYT,https://m.media-amazon.com/images/I/61s6lTyu02L._AC_UL960_FMwebp_QL65_.jpg,31,"R$ 104,34",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B07JM7DR7K,"Mouse Gamer Logitech G502 HERO com RGB LIGHTSYNC, Ajustes de Peso, 11 Botões Programáveis e Sensor HERO 25K","R$ 294,90","R$ 333,96",BRL,4.8,21829,https://www.amazon.com.br/dp/B07JM7DR7K,https://m.media-amazon.com/images/I/61mpMH5TzkL._AC_UL960_FMwebp_QL65_.jpg,14,"R$ 290,19",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B00Z0UWV3O,"Câmbio Logitech G Driving Force - Compatível com Volantes Logitech G923, G29 e G920 para PS5, PS4, Xbox Series X|S, Xbox One e PC","R$ 399,00",,BRL,4.8,34454,https://www.amazon.com.br/dp/B00Z0UWV3O,https://m.media-amazon.com/images/I/71MG1E4vFeL._AC_UL960_FMwebp_QL65_.jpg,16,"R$ 318,02",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0C4JK43LQ,"Thermalright Phantom Spirit 120 CPU Air Cooler, 7 Heat pipes CPU Cooler,Dual 120mm TL-C12B V2 PWM Fan, AGHP 4.0 Technilogy,S-FDB Bearing,For AMD AM4 AM5/Intel 1700/1150/1151/1200/2011,PC Cooler(PS120)","R$ 230,56","R$ 287,06",BRL,4.8,134,https://www.amazon.com.br/dp/B0C4JK43LQ,https://m.media-amazon.com/images/I/71tvWzuf-UL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 230,56",False,False,True,False,Mais de 100 compras no mês passado,,False,Oferta Prime Day,,,,
B0C5NNLB31,Tripe Profissional Semi-Hidraulica 180cm Para Cameras E Celulares Ideal Para Estabilizar Videos E Fotos - Com Tres Monopes Com Trava,"R$ 159,90",,BRL,4.7,299,https://www.amazon.com.br/dp/B0C5NNLB31,https://m.media-amazon.com/images/I/61oFhQUHiUL._AC_UL960_FMwebp_QL65_.jpg,4,"R$ 119,90",False,False,False,True,Mais de 200 compras no mês passado,"Entrega GRÁTIS: seg., 21 de jul.",False,,,,,
B0DKZ5SYPG,"Microsoft 365 Family + Antivírus McAfee Premium Family 2024 - Licenças Físicas para Dispositivos, Segurança Avançada e Suporte Técnico (PAI) (Microsoft 365 Family Antivírus Premium Family)","R$ 439,00",,BRL,4.8,285,https://www.amazon.com.br/dp/B0DKZ5SYPG,https://m.media-amazon.com/images/I/71IR5K4a5aL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 439,00",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",False,,,,,
B09WB1RJ53,Câmera Inteligente Interna Wi-Fi Full HD iME360 Branco Intelbras,"R$ 302,78","R$ 318,72",BRL,4.7,3096,https://www.amazon.com.br/dp/B09WB1RJ53,https://m.media-amazon.com/images/I/41pzL9q7HuL._AC_UL960_FMwebp_QL65_.jpg,2,"R$ 241,75",False,False,False,True,Mais de 500 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B07Q437WXK,"Mouse Gamer Redragon Cobra, Chroma RGB, 10000DPI, 7 Botões, Preto","R$ 138,99",,BRL,4.8,7931,https://www.amazon.com.br/dp/B07Q437WXK,https://m.media-amazon.com/images/I/61saZHQI52L._AC_UL960_FMwebp_QL65_.jpg,39,"R$ 116,90",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
B094YV31R9,"I2GO, Carregador Portátil (Power Bank) Ultra Rápido 10000mAh, Power Delivery 20W, 2 Saídas USB + 1 Saída/Entrada USB-C, Preto, i2GO PRO","R$ 165,14",,BRL,4.6,4852,https://www.amazon.com.br/dp/B094YV31R9,https://m.media-amazon.com/images/I/51x6d0ZwylS._AC_UL960_FMwebp_QL65_.jpg,4,"R$ 126,40",False,False,False,False,Mais de 400 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0DK8NSRRC,"Roteador, HUAWEI WiFi BE3, Wifi 7, 3.6 Gpbs Dual-Band Wi-Fi 7, Visualização de Diagnóstico WiFi, Controle Parental, Branco","R$ 347,65","R$ 399,90",BRL,4.7,163,https://www.amazon.com.br/dp/B0DK8NSRRC,https://m.media-amazon.com/images/I/31nRUjyIwdL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 347,65",False,False,True,False,Mais de 200 compras no mês passado,,False,Oferta Prime Day,,,,
B074WKD77F,"Teclado sem fio Logitech K400 Plus TV com Controle Easy Media e Touchpad Integrado, Conexão USB Unifying e Layout ABNT2","R$ 146,99","R$ 189,90",BRL,4.7,5745,https://www.amazon.com.br/dp/B074WKD77F,https://m.media-amazon.com/images/I/51nFWgLkCuL._AC_UL960_FMwebp_QL65_.jpg,8,"R$ 139,07",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0D2HQKVHD,"Amazfit Bip 5 A2215 46mm Smart Watch with Ultra Large Screen, Bluetooth Calling, Alexa, GPS, 10-Day Long Battery Life (preto)","R$ 440,00",,BRL,4.5,139,https://www.amazon.com.br/dp/B0D2HQKVHD,https://m.media-amazon.com/images/I/61pksVxKn7L._AC_UL960_FMwebp_QL65_.jpg,6,"R$ 386,10",False,False,False,False,Mais de 300 compras no mês passado,Entrega GRÁTIS: 25 de jul. - 1 de ago.,False,,,,,
B0BJK9PZ1V,"Qcy Fone De Ouvido T20 - Fones de Ouvido Sem Fio Bluetooth 5.3 Com Microfones, Preto","R$ 160,65","R$ 189,00",BRL,4.5,2849,https://www.amazon.com.br/dp/B0BJK9PZ1V,https://m.media-amazon.com/images/I/41rtNdlBmoL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 160,65",False,False,True,False,Mais de 200 compras no mês passado,,True,Com Prime,,,,
B0DYJSW17G,"Basike Fone de Ouvido Bluetooth, ANC Cancelamento de Ruído Ativo Headphone Bluetooth 5.4 Headset com Microfone, Certificação Hi-Res Audio, 30 horas reprodução, LE15 (Rosa)","R$ 146,20","R$ 172,00",BRL,4.7,208,https://www.amazon.com.br/dp/B0DYJSW17G,https://m.media-amazon.com/images/I/61Hj3RLglhL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 146,20",False,False,True,False,Mais de 300 compras no mês passado,,True,Oferta Prime Day,,,,
B079HL9YSF,"Wacom CTL4100 - Mesa Digitalizadora Intuos Creative, Preto","R$ 335,78","R$ 479,52",BRL,4.8,23110,https://www.amazon.com.br/dp/B079HL9YSF,https://m.media-amazon.com/images/I/61UUcHcXWIL._AC_UL960_FMwebp_QL65_.jpg,5,"R$ 285,41",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0DYNT9W24,"SmartWatch, relogio smartwatch com Ecrã tátil e Alexa, à prova d&#x27;água IP68, relogio smartwatch feminino e masculino, com modo esportivo e recebimento de notificações (rosa)","R$ 177,76","R$ 259,00",BRL,4.5,140,https://www.amazon.com.br/dp/B0DYNT9W24,https://m.media-amazon.com/images/I/61G-6e9mRwL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 177,76",False,False,True,False,Mais de 300 compras no mês passado,,False,Com Prime,,,,
B0925T2JH9,Kit Carregador Rápido UGREEN PD 20W com Cabo MFI Lightning CD137 Branco CERTIFICADO ANATEL Nº:05613-22-13824,"R$ 103,33",,BRL,4.7,1069,https://www.amazon.com.br/dp/B0925T2JH9,https://m.media-amazon.com/images/I/51ZEsFP4RUS._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 103,33",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,
B0842XB4BN,"Mochila DELL Gaming, Preto, 460-BCZE, 15.6&quot; e 17.3&quot;","R$ 289,00",,BRL,4.8,3861,https://www.amazon.com.br/dp/B0842XB4BN,https://m.media-amazon.com/images/I/91PDPYo4jUL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 289,00",False,False,False,False,Mais de 300 compras no mês passado,Entrega GRÁTIS: 12 - 19 de ago.,False,,,,,
B075Y7H8V6,Mochila Lenovo Casual B210 Azul para notebook de até 15.6&quot; GX40Q17226,"R$ 126,00",,BRL,4.8,45623,https://www.amazon.com.br/dp/B075Y7H8V6,https://m.media-amazon.com/images/I/71EQMrnlDUL._AC_UL960_FMwebp_QL65_.jpg,6,"R$ 76,16",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",True,,,,,
B09RQ9FCSK,"Amvox Caixa de Som Amplificada ACA 221 Gigante II - 220W RMS, Bluetooth, Rádio FM, USB, Preto","R$ 264,90",,BRL,4.4,1163,https://www.amazon.com.br/dp/B09RQ9FCSK,https://m.media-amazon.com/images/I/51CyF4O5MKL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 264,90",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: sex., 18 de jul.",False,,,,,
B0FGWMZMYH,UniTV V10 Aparelho 8gb Streaming Wi-Fi Full HD 4k 5g Configurado uni-tv,"R$ 325,00",,BRL,5,1,https://www.amazon.com.br/dp/B0FGWMZMYH,https://m.media-amazon.com/images/I/61nV32e9SdL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 325,00",False,False,False,False,,"Entrega R$ 28,17: 23 - 25 de jul.",False,,,,,
B0D6Z5MXBK,Gabinete Gamer TGT Legion | Mini-Tower | Lateral de Vidro | Preto | TGT-LGN-BK,"R$ 140,16","R$ 164,90",BRL,4.3,96,https://www.amazon.com.br/dp/B0D6Z5MXBK,https://m.media-amazon.com/images/I/611sSJnEOkL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 140,16",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: sex., 8 de ago.",False,Oferta,,,,
B07XC936P8,"Headset Gamer Razer Headset Kraken X Lite Multi Platform Surround 7.1, Preto, Grande, RZ.AU.KR.08.RT","R$ 225,72","R$ 250,80",BRL,4.5,5376,https://www.amazon.com.br/dp/B07XC936P8,https://m.media-amazon.com/images/I/51TzGmowjSL._AC_UL960_FMwebp_QL65_.jpg,8,"R$ 186,15",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0CJRXT3L6,"Webcam Full HD Logitech Brio 100 com Microfone Integrado, Proteção de Privacidade, Correção Automática de Luz e Conexão USB-A - Grafite","R$ 232,00",,BRL,4.8,1128,https://www.amazon.com.br/dp/B0CJRXT3L6,https://m.media-amazon.com/images/I/61nTmIUB0LL._AC_UL960_FMwebp_QL65_.jpg,3,"R$ 232,00",False,False,False,False,Mais de 400 compras no mês passado,,False,,,,,
B071HWSGPN,PIX Suporte para Monitor Articulado 17 a 30 de Mesa com Pistão a Gás F80 NB,"R$ 151,74","R$ 162,84",BRL,4.8,1694,https://www.amazon.com.br/dp/B071HWSGPN,https://m.media-amazon.com/images/I/61fX2msX3sL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 151,74",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0DR45KLST,"Carregador Portátil 10000mAh com Display LED, Mini Power Bank Rápido 22.5W com PD 3.0 e QC 3.0, USB-C Leve e Compatível com iPhone 16/15/14/13/12/11 e Samsung, Preto","R$ 179,98",,BRL,4.7,58,https://www.amazon.com.br/dp/B0DR45KLST,https://m.media-amazon.com/images/I/51+WgwTQitL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 179,98",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: sex., 18 de jul.",False,,,,,
B0C9QSV82F,"Geonav Power Bank, Carregador Portátil Universal por Indução 10.000mAh, Carregamento rápido*, Suporte Dobrável, Compatível com MagSafe®, PB10MAGSG, Cinza","R$ 200,31",,BRL,4.4,1693,https://www.amazon.com.br/dp/B0C9QSV82F,https://m.media-amazon.com/images/I/615U7klnYVL._AC_UL960_FMwebp_QL65_.jpg,13,"R$ 146,63",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B089B7Z8ZD,Teclado Mecânico Redragon Dark Avenger Preto Iluminação Rainbow Switch Marrom K568R,"R$ 188,59",,BRL,4.8,1382,https://www.amazon.com.br/dp/B089B7Z8ZD,https://m.media-amazon.com/images/I/61KrUwmOvTL._AC_UL960_FMwebp_QL65_.jpg,5,"R$ 168,40",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: seg., 14 de jul.",False,,,,,
B0D8JJRCJN,"GameSir G8 Plus Bluetooth Mobile Game Controller for Switch &amp; iOS &amp; Android &amp; Tablets, Wireless Gamepad with Hall Effect Joysticks/Hall Trigger, Play Minecraft, Genshin Impact, Call of Duty Mobile","R$ 379,00","R$ 499,00",BRL,4.6,1204,https://www.amazon.com.br/dp/B0D8JJRCJN,https://m.media-amazon.com/images/I/717de+4D0kL._AC_UL960_FMwebp_QL65_.jpg,1,"R$ 379,00",False,False,True,False,Mais de 100 compras no mês passado,,False,Com Prime,,iOS,,
