asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,coupon_text,product_badge,product_byline,unit_price,unit_count,book_formats
B0DK3V8Z47,Fechadura Eletronica Digital Biométrica Smart Inteligente Kuanttum Kappa,"R$ 398,28",,BRL,4.7,306,https://www.amazon.com.br/dp/B0DK3V8Z47,https://m.media-amazon.com/images/I/411YBoiw9pL._AC_UY654_FMwebp_QL65_.jpg,5,"R$ 349,13",False,False,False,False,Mais de 300 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,,,,,,
B0F8TMGTKR,"Trailabo Nível a Laser Verde 360° Autonivelante 4D com 16 Linhas Cruzadas, Controle Remoto + Tripé - Kit Completo com Suporte e Caixa de Ferramentas para Construção","R$ 499,00",,BRL,,0,https://www.amazon.com.br/dp/B0F8TMGTKR,https://m.media-amazon.com/images/I/71Xiz6667YL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 499,00",False,False,False,False,,"Entrega GRÁTIS: sáb., 19 de jul.",False,"Economize R$ 30,00 com o cupom",,,,,
B0F3FTHZK6,Fechadura Eletrônica Inteligente Digital Com Biometria Wifi Chave Senha,"R$ 336,12",,BRL,4.1,13,https://www.amazon.com.br/dp/B0F3FTHZK6,https://m.media-amazon.com/images/I/61aeaEpo8LL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 336,12",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",False,,,,,,
B0B3TH54RZ,"Espanador de ar Elétrico, Espanador de ar Sem Fio, Soprador de Ar Comprimido Recarregável de 38000 RPM, Dois Modos de Partida Inteligentes, Boa Substituição para Lata de Ar Comprimido","R$ 165,75","R$ 189,00",BRL,4.4,448,https://www.amazon.com.br/dp/B0B3TH54RZ,https://m.media-amazon.com/images/I/61M8FbfIHKL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 165,75",False,False,True,False,Mais de 200 compras no mês passado,,False,,Com Prime,,,,
B0DL9XS6NZ,"Light Bar, Preto, RGB Lightbar, Light Bar Monitor com Tres temperaturas de cor 15 cores modo, Luz Monitor, Led Monitor Light Bar, Barra de Luz para Monitor, Lightbar Monitor, Luminaria Monitor","R$ 179,99",,BRL,4.1,21,https://www.amazon.com.br/dp/B0DL9XS6NZ,https://m.media-amazon.com/images/I/71rXeEljZBL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 179,99",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,,
B0DKPCL17X,Torneira Pia Cozinha Parede Gourmet Flexível Malibu preta 1/4 volta,"R$ 169,00","R$ 199,00",BRL,4.2,48,https://www.amazon.com.br/dp/B0DKPCL17X,https://m.media-amazon.com/images/I/41cSoZevUIL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 169,00",False,True,False,False,,"Entrega GRÁTIS: seg., 21 de jul.",True,,Escolha,,,,
B0F8TMGTKR,"Trailabo Nível a Laser Verde 360° Autonivelante 4D com 16 Linhas Cruzadas, Controle Remoto + Tripé - Kit Completo com Suporte e Caixa de Ferramentas para Construção","R$ 499,00",,BRL,,0,https://www.amazon.com.br/dp/B0F8TMGTKR,https://m.media-amazon.com/images/I/71Xiz6667YL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 499,00",False,False,False,False,,"Entrega GRÁTIS: sáb., 19 de jul.",False,"Economize R$ 30,00 com o cupom",,,,,
B0F3FTHZK6,Fechadura Eletrônica Inteligente Digital Com Biometria Wifi Chave Senha,"R$ 336,12",,BRL,4.1,13,https://www.amazon.com.br/dp/B0F3FTHZK6,https://m.media-amazon.com/images/I/61aeaEpo8LL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 336,12",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",False,,,,,,
B0B3TH54RZ,"Espanador de ar Elétrico, Espanador de ar Sem Fio, Soprador de Ar Comprimido Recarregável de 38000 RPM, Dois Modos de Partida Inteligentes, Boa Substituição para Lata de Ar Comprimido","R$ 165,75","R$ 189,00",BRL,4.4,448,https://www.amazon.com.br/dp/B0B3TH54RZ,https://m.media-amazon.com/images/I/61M8FbfIHKL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 165,75",False,False,True,False,Mais de 200 compras no mês passado,,False,,Com Prime,,,,
B0DL9XS6NZ,"Light Bar, Preto, RGB Lightbar, Light Bar Monitor com Tres temperaturas de cor 15 cores modo, Luz Monitor, Led Monitor Light Bar, Barra de Luz para Monitor, Lightbar Monitor, Luminaria Monitor","R$ 179,99",,BRL,4.1,21,https://www.amazon.com.br/dp/B0DL9XS6NZ,https://m.media-amazon.com/images/I/71rXeEljZBL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 179,99",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,,
B0DKPCL17X,Torneira Pia Cozinha Parede Gourmet Flexível Malibu preta 1/4 volta,"R$ 169,00","R$ 199,00",BRL,4.2,48,https://www.amazon.com.br/dp/B0DKPCL17X,https://m.media-amazon.com/images/I/41cSoZevUIL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 169,00",False,False,False,False,,"Entrega GRÁTIS: seg., 21 de jul.",True,,Economize 15%,,,,
B0CYQS94HD,Lonas de Polietileno Speedmax Azul | Escolha o Tamanho (5x9),"R$ 161,90",,BRL,4,162,https://www.amazon.com.br/dp/B0CYQS94HD,https://m.media-amazon.com/images/I/71dxTQEK7DL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 161,90",False,False,False,True,,"Entrega GRÁTIS: sáb., 19 de jul.",False,,,,,,
B0F56XQZ3W,"Kit com 2 Câmeras de Segurança IP Lâmpada WiFi Full HD 1080p, Prova D&#x27;água, Giratória e com Visão Noturna Infravermelha 1080p, Bivolt, Detecção de Movimento, Áudio Bidirecional - Premium","R$ 119,90",,BRL,4.1,22,https://www.amazon.com.br/dp/B0F56XQZ3W,https://m.media-amazon.com/images/I/61GoT9JIRyL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 119,90",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,,
B0CRF5P5RM,"HOLTTER Pistola Eletrica de Pintura Pistola Pulverizadora Profissional de Tinta Máquina de Pintar Parede Compressor Tinta Portátil 650W Mangueira Espiral Pistola de Pintura com Acessórios (220, Volts)","R$ 159,90",,BRL,3.8,87,https://www.amazon.com.br/dp/B0CRF5P5RM,https://m.media-amazon.com/images/I/711KFygBSAL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 159,90",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,,
B0CFVT4BXF,Filtro De Água LG ARWF6755 - Original,"R$ 139,90",,BRL,4.7,78,https://www.amazon.com.br/dp/B0CFVT4BXF,https://m.media-amazon.com/images/I/4164DBxirSL._AC_UY654_FMwebp_QL65_.jpg,13,"R$ 105,48",False,False,False,False,Mais de 30 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",False,,,,,,
B0F2QPNWT5,Camera IP WiFi Giratória 1080p Estilo Babá Eletrônica Pet Com Visão Noturna Alerta De Movimento Microfone Infravermelho Sem Fio com App Yoosee Interna Câmera Panorâmica Detecção de Movimento Premium,"R$ 109,90",,BRL,4.6,41,https://www.amazon.com.br/dp/B0F2QPNWT5,https://m.media-amazon.com/images/I/61VfaskPYML._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 109,90",False,True,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,Economize 5% com o cupom,Escolha,,,,
B0DHZ2TP5G,Tomada Inteligente Wi-Fi ETS 1002 (Branco),"R$ 164,00","R$ 179,90",BRL,4.2,15,https://www.amazon.com.br/dp/B0DHZ2TP5G,https://m.media-amazon.com/images/I/41+fgkpUFJL._AC_UY654_FMwebp_QL65_.jpg,7,"R$ 178,42",False,False,False,False,,"Entrega GRÁTIS: dom., 20 de jul.",True,,,,,,
B078NF3S2G,VALVULA DUCHAO,"R$ 126,55",,BRL,4.6,569,https://www.amazon.com.br/dp/B078NF3S2G,https://m.media-amazon.com/images/I/71D8zCRxmIL._AC_UY654_FMwebp_QL65_.jpg,30,"R$ 101,68",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,,,,,,
B0DGZ8RVRM,"Ventilador de Coluna Arno X-TREME 7 40cm VE7C, 150W, 7 Pás, 3 Velocidades, Oscilação 80º, Power Zone, Modo Sono Tranquilo, Altura Ajustável de até 1,5m, 220V","R$ 414,80","R$ 458,72",BRL,4.7,84,https://www.amazon.com.br/dp/B0DGZ8RVRM,https://m.media-amazon.com/images/I/51rwN5-WIQL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 414,80",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: sex., 25 de jul.",False,,,Energia elétrica,,,
B0DHL2H7GP,"WUBEN T4 Lanterna Tática Recarregável para EDC, Lanterna Pequena Potente de Longo Alcance de 401 m, Lanterna de Bolso com 3 Modos Tático/de Serviço/Trava, Mini Lanterna","R$ 277,99","R$ 347,49",BRL,4.6,827,https://www.amazon.com.br/dp/B0DHL2H7GP,https://m.media-amazon.com/images/I/61Eea+drqTL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 277,99",False,False,True,False,,,False,,Com Prime,,,,
B0FCM41VL1,"Filtro de ar silencioso para purificador de ar de reposição que filtra 99,97% de 0,01 mícron, fumaça e partículas（1 unidade) (3)","R$ 129,00",,BRL,4.5,10,https://www.amazon.com.br/dp/B0FCM41VL1,https://m.media-amazon.com/images/I/71G9O4Gg06L._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 129,00",False,False,False,False,,Entrega GRÁTIS: 28 de jul. - 1 de ago.,False,,,,,,
B0F9WVLKLQ,"12V Mini Esmerilhadeira Angular Portátil, 2 Baterias, 19500 RPM, Com 8 Discos de Corte, Corte e Polimento para Metal, Pedra, Madeira, Mármore – Compacta e Recarregável","R$ 153,03","R$ 179,00",BRL,,0,https://www.amazon.com.br/dp/B0F9WVLKLQ,https://m.media-amazon.com/images/I/71w5MnMGx1L._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 153,03",False,False,True,False,,"Entrega GRÁTIS: sáb., 19 de jul.",False,,Com acesso antecipado Prime,,,,
B0DLJ8VYR8,Ventilador De Torre Cor Preto Midea VTMP2 - 220v,"R$ 350,10","R$ 377,55",BRL,4.5,8,https://www.amazon.com.br/dp/B0DLJ8VYR8,https://m.media-amazon.com/images/I/61DjsvO6GCL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 350,10",False,False,False,False,,"Entrega GRÁTIS: ter., 29 de jul.",False,,,Energia elétrica,,,
B0F93NZCWZ,"Lustre Ouro Negro 8 luzes, Luminária pendente com altura ajustável, Adequado para lâmpadas E27(Lâmpada Não Incluída), Adequado para sala de jantar, quarto, corredor, sala de estar, 220V","R$ 159,99",,BRL,3,2,https://www.amazon.com.br/dp/B0F93NZCWZ,https://m.media-amazon.com/images/I/61+3tnN6bbL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 159,99",False,False,False,False,Mais de 40 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,"Economize R$ 15,00 com o cupom",,,,,
B0CS3SKXB9,"HOLTTER Esmerilhadeira Lixadeira Angular Profissional Disco Corte Desbaste 820W 11000rpm 115mm Kit Esmerilhadeira Lixadeira Elétrica Angular com Acessórios Esmerilhadora de Ângulo (220, Volts)","R$ 169,90",,BRL,4,205,https://www.amazon.com.br/dp/B0CS3SKXB9,https://m.media-amazon.com/images/I/71zyCZY8vEL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 169,90",False,False,False,False,Mais de 50 compras no mês passado,Entrega GRÁTIS: 1 - 4 de ago.,False,,,,,,
B0F8KQ2PXY,Máquina Inversora de Solda 250A Nakasaki NK250A Bivolt,"R$ 424,99",,BRL,4.5,2,https://www.amazon.com.br/dp/B0F8KQ2PXY,https://m.media-amazon.com/images/I/61IU0-to+uL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 424,99",False,False,False,False,Mais de 30 compras no mês passado,"Entrega GRÁTIS: qua., 30 de jul.",False,,,,,,
B0CWB3N6S5,Cofre Eletrônico Digital Senha Ou Chave 43x33x20 Contelux P/Hotel,"R$ 369,99",,BRL,4.4,84,https://www.amazon.com.br/dp/B0CWB3N6S5,https://m.media-amazon.com/images/I/411kjQHt96L._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 369,99",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",False,,,,,,
B0DJHGD4H4,Tomada Inteligente Wi-Fi ETS 2002 (Branco),"R$ 180,00","R$ 205,00",BRL,4.8,17,https://www.amazon.com.br/dp/B0DJHGD4H4,https://m.media-amazon.com/images/I/61auiqW4eIL._AC_UY654_FMwebp_QL65_.jpg,5,"R$ 187,50",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",True,,,,,,
B0CSSP4WZV,YESOP Torneira De Cozinha Monocomando Gourmet Misturar,"R$ 203,15","R$ 239,00",BRL,4.5,165,https://www.amazon.com.br/dp/B0CSSP4WZV,https://m.media-amazon.com/images/I/41jhUytkSeL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 203,15",False,False,True,False,,,True,,Com Prime,,,,
B0D7VRV7RF,"LucZeng Fechadura Digital Biométrica, 5 em 1 Inteligente Fechadura Eletronica com Tuya Wi-Fi, Touch Screen Fechadura Digital - Abertura via Biometria, Senha Numérica, cartão IC, chave e APP","R$ 499,00",,BRL,4.6,34,https://www.amazon.com.br/dp/B0D7VRV7RF,https://m.media-amazon.com/images/I/51bSFLrSZqL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 499,00",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,,
B0DLJCMYFQ,"Midea Ventilador De Torre Cor Preto,VTMP1,127V/60Hz","R$ 296,65","R$ 369,00",BRL,4.5,60,https://www.amazon.com.br/dp/B0DLJCMYFQ,https://m.media-amazon.com/images/I/61DjsvO6GCL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 296,65",False,False,True,False,Mais de 50 compras no mês passado,,False,,Oferta Prime Day,Energia elétrica,,,
B0DCL4NW6J,"WAP Climatizador de Ar AIR FRESH 4 em 1, com Reservatório para Essência e 3 Níveis de Velocidades, Baixo Ruído, 90W 127V","R$ 466,71",,BRL,4.5,833,https://www.amazon.com.br/dp/B0DCL4NW6J,https://m.media-amazon.com/images/I/61Px4EY0XML._AC_UY654_FMwebp_QL65_.jpg,6,"R$ 465,00",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,,,,,,
B0DCGSBGKK,Kit 2 Extintores 6kg Abc - Validade 5 Anos incluso Suporte de parede e sinalização,"R$ 379,90",,BRL,4.5,2,https://www.amazon.com.br/dp/B0DCGSBGKK,https://m.media-amazon.com/images/I/51jSc4loj9L._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 379,90",False,False,False,False,,"Entrega GRÁTIS: sex., 25 de jul.",False,,,,,,
B07913TNX5,Desumidificador de Ar Peltier Komeco Air Life - Antimofo - Bivolt,"R$ 270,13",,BRL,4.6,1505,https://www.amazon.com.br/dp/B07913TNX5,https://m.media-amazon.com/images/I/41DSMJfU3OL._AC_UY654_FMwebp_QL65_.jpg,8,"R$ 266,13",False,False,False,False,Mais de 1 mil compras no mês passado,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",False,,,,,,
B0F6NVWLMS,Kit 2 Câmera Segurança Ip Wifi Lâmpada Prova D&#x27;água Giratória Visão Noturna Infravermelho 1080P HD Câmeras Wireless 360° Inteligente Full HD - Premium®,"R$ 129,90",,BRL,4.6,15,https://www.amazon.com.br/dp/B0F6NVWLMS,https://m.media-amazon.com/images/I/61mfCf+WZ2L._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 129,90",False,False,False,False,Mais de 100 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,,
B0CGVQ6R4J,Sensor de Abertura Magnético Sem Fio Para Porta e Janela MSA 1001 Branco Intelbras,"R$ 106,88",,BRL,4.2,29,https://www.amazon.com.br/dp/B0CGVQ6R4J,https://m.media-amazon.com/images/I/31z0L6tleOL._AC_UY654_FMwebp_QL65_.jpg,9,"R$ 89,02",False,False,False,False,,"Entrega GRÁTIS: ter., 15 de jul.",False,,,,,,
B0DK9WK3ZQ,Parafusadeira Furadeira 20V Vonder PFV 238 18 Posições de Torque LED Bateria Carregador e Acessórios,"R$ 249,40",,BRL,4.7,206,https://www.amazon.com.br/dp/B0DK9WK3ZQ,https://m.media-amazon.com/images/I/6137Taup2AL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 249,40",False,True,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: qui., 7 de ago.",False,,Escolha,,,,
B0D8KVN6DY,"Eletropneumático Martelo Perfurador Rotativo Rompedor (220V+1600W）Com Controle de Vibração, Inclui Graxa, Talhadeira Ponteira Brocas, com Estojo 220V","R$ 400,99",,BRL,4.4,163,https://www.amazon.com.br/dp/B0D8KVN6DY,https://m.media-amazon.com/images/I/71cYmiX43WL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 400,99",False,False,False,False,Mais de 40 compras no mês passado,"Entrega GRÁTIS: sáb., 19 de jul.",False,,,,,,
B0DK9WK3ZQ,Parafusadeira Furadeira 20V Vonder PFV 238 18 Posições de Torque LED Bateria Carregador e Acessórios,"R$ 249,40",,BRL,4.7,206,https://www.amazon.com.br/dp/B0DK9WK3ZQ,https://m.media-amazon.com/images/I/6137Taup2AL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 249,40",False,False,False,False,Mais de 200 compras no mês passado,"Entrega GRÁTIS: qui., 7 de ago.",False,,,,,,
B0D8KVN6DY,"Eletropneumático Martelo Perfurador Rotativo Rompedor (220V+1600W）Com Controle de Vibração, Inclui Graxa, Talhadeira Ponteira Brocas, com Estojo 220V","R$ 400,99",,BRL,4.4,163,https://www.amazon.com.br/dp/B0D8KVN6DY,https://m.media-amazon.com/images/I/71cYmiX43WL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 400,99",False,False,False,False,Mais de 40 compras no mês passado,"Entrega GRÁTIS: sáb., 19 de jul.",False,,,,,,
B0F3J8DV77,Câmera de Segurança Tomada Sem Fio 2MP WiFi Visão 360° HD 1080p Câmera IP Infravermelho Controle via App 2 Modos de Visão Noturna Áudio Bidirecional Detecção de Movimento Premium,"R$ 106,98",,BRL,3.9,21,https://www.amazon.com.br/dp/B0F3J8DV77,https://m.media-amazon.com/images/I/41kCT8C53wL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 106,98",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,Economize 7% com o cupom,,,,,
B0DV13Q6QY,Chave de Impacto Furadeira 48V Brushless Parafusadeira de Alta Potência 2 Baterias 4.0Ah + Carregador Kit com Soquetes Bits Maleta Ferramenta Elétrica Profissional Bivolt,"R$ 339,90",,BRL,4.2,11,https://www.amazon.com.br/dp/B0DV13Q6QY,https://m.media-amazon.com/images/I/715adoNTPjL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 339,90",False,False,False,False,Mais de 30 compras no mês passado,"Entrega GRÁTIS: sáb., 19 de jul.",False,,,,,,
B0DRN3JVZ8,"Alicate Decapador Profissional 8 em 1 com Detector de Voltagem - Testador de Fase 12-250V CA/CC, Alarme Duplo, Ferramenta para Eletricista, HVAC e Automotivo - Corte, Crimpagem e Descascamento de Fios","R$ 107,10","R$ 119,00",BRL,5,4,https://www.amazon.com.br/dp/B0DRN3JVZ8,https://m.media-amazon.com/images/I/61ruzlKeUxL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 107,10",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: qua., 16 de jul.",False,,Oferta,,,,
B0F2LBW4G1,"Luminária de mesa LED com braço articulado e braçadeira, 3 modos de brilho, iluminação ajustável para escritório, leitura, jogo e estudo, lâmpada de mesa giratória 360°, design moderno e funcional","R$ 111,27",,BRL,5,3,https://www.amazon.com.br/dp/B0F2LBW4G1,https://m.media-amazon.com/images/I/71KI0lT68wL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 111,27",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",False,,,,,,
B0DYYD5TBS,"Fechadura ElectróNica Inteligente Da Porta, 4 Maneiras De Abrir A Porta, Abertura De ImpressãO Digital, Abertura De CartãO Ic, Abertura De Senha, Abertura De Chave, Adequado Para A Maioria Das Portas","R$ 269,99",,BRL,3.5,29,https://www.amazon.com.br/dp/B0DYYD5TBS,https://m.media-amazon.com/images/I/71ezE7GjMXL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 269,99",False,False,False,False,Mais de 50 compras no mês passado,"Entrega GRÁTIS: dom., 20 de jul.",False,,,,,,
B0D9NN2F4L,"Faca Do Chef De 8&#x27;&#x27; Polegadas Com Cabo Ergonômico, Faca De Cozinha Forjada Em Aço Com Alto Teor De Carbono, Preta","R$ 85,85","R$ 105,99",BRL,4.8,59,https://www.amazon.com.br/dp/B0D9NN2F4L,https://m.media-amazon.com/images/I/61ZmE2Rv3QL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 85,85",False,False,True,False,,,False,,Com Prime,,,,
B0DHZ7CCKD,Tomada com Interruptor Inteligente Wi-Fi ETS 2001 Branco Intelbras,"R$ 177,00",,BRL,4.9,20,https://www.amazon.com.br/dp/B0DHZ7CCKD,https://m.media-amazon.com/images/I/31cA1wFT8zL._AC_UY654_FMwebp_QL65_.jpg,7,"R$ 170,20",False,False,False,False,,"Entrega GRÁTIS: Amanhã, 14 de jul.Ou entrega mais rápida: Hoje",True,,,,,,
B0F6MFQQQ8,Luminária De Mesa Retro Abajur Articulável em Madeira e Aço (Branco),"R$ 159,99",,BRL,5,5,https://www.amazon.com.br/dp/B0F6MFQQQ8,https://m.media-amazon.com/images/I/41RTnuImeeL._AC_UY654_FMwebp_QL65_.jpg,1,"R$ 159,99",False,False,False,False,,"Entrega GRÁTIS: qua., 16 de jul.",True,,,,,,
